[14.98363961334693, -2.941565130226941]
[6.46955111591318, -10.105829120856601]
[16.094325426596868, -11.39021811456226]
[-2.4061931752686796, 1.3820318204940705]
[-16.919524368051437, 15.610948261551748]
[-12.075526778146394, -10.173721993568172]
[19.81051228890673, -1.902624894016558]
[-16.79135817681214, -3.903138745432525]
[-15.128039846074074, 7.7500047791444295]
[14.062930637458734, -12.661748302099651]
[1.800894845553902, 16.868060014913993]
[-4.06911224789404, -9.0580685539677]
[-16.723121503969494, -14.62133512941731]
[17.225240162130305, -18.848935926258488]
[0.07562582209037316, -12.806873203475707]
[6.310520594258364, 15.25169696341402]
[-1.889298023908303, -6.178755526433083]
[-8.854361852742358, 8.531387308752784]
[-9.315399860829213, 11.006596368923567]
[-0.17995253883102436, 10.662739493150543]
